chamber,district,fullname,firstname,lastname,party,town
House,96, Rep. Stanley Paige Zeigler (D - Montville),Stanley Paige,Zeigler,D,Montville
House,97, Rep. Janice S. Dodge (D - Belfast),Janice S.,Dodge,D,Belfast
House,98, Rep. Scott W. Cuddy (D - Winterport),Scott W.,Cuddy,D,Winterport
House,99, Rep. MaryAnne Kinney (R - Knox ),MaryAnne,Kinney,R,Knox 
House,100, Rep. Danny Edward Costain (R - Plymouth),Danny Edward,Costain,R,Plymouth
House,101, Rep. David G. Haggan (R - Hampden),David G.,Haggan,R,Hampden
House,102, Rep. Abigail W. Griffin (R - Levant),Abigail W.,Griffin,R,Levant
House,103, Rep. Roger E. Reed (R - Carmel),Roger E.,Reed,R,Carmel
House,104, Rep. Steven D. Foster (R - Dexter),Steven D.,Foster,R,Dexter
House,105, Rep. Joel R. Stetkis (R - Canaan),Joel R.,Stetkis,R,Canaan
House,106, Rep. Scott Walter Strom (R - Pittsfield),Scott Walter,Strom,R,Pittsfield
House,107, Rep. Betty A. Austin (D - Skowhegan),Betty A.,Austin,D,Skowhegan
House,108, Rep. Shelley Rudnicki (R - Fairfield),Shelley,Rudnicki,R,Fairfield
House,109, Rep. Bruce A. White (D - Waterville),Bruce A.,White,D,Waterville
House,110, Rep. Colleen M. Madigan (D - Waterville ),Colleen M.,Madigan,D,Waterville 
House,111, Rep. Philip A. Curtis (R - Madison),Philip A.,Curtis,R,Madison
House,112, Rep. Thomas H. Skolfield (R - Weld),Thomas H.,Skolfield,R,Weld
House,113, Rep. H. Scott Landry (D - Farmington),H. Scott,Landry,D,Farmington
House,114, Rep. Randall C. Hall (R - Wilton),Randall C.,Hall,R,Wilton
House,115, Rep. Josanne C. Dolloff (R - Rumford),Josanne C.,Dolloff,R,Rumford
House,116, Rep. Richard A. Pickett (R - Dixfield),Richard A.,Pickett,R,Dixfield
House,117, Rep. Frances M. Head (R - Bethel ),Frances M.,Head,R,Bethel 
House,118, Rep. Chad Wayne Grignon (R - Athens ),Chad Wayne,Grignon,R,Athens 
House,119, Rep. Paul A. Stearns (R - Guilford),Paul A.,Stearns,R,Guilford
House,120, Rep. Norman E. Higgins (I - Dover-Foxcroft),Norman E.,Higgins,I,Dover-Foxcroft
House,121, Rep. Gary A. Drinkwater (R - Milford),Gary A.,Drinkwater,R,Milford
House,122, Rep. Michelle Dunphy (D - Old Town),Michelle,Dunphy,D,Old Town
House,123, Rep. Ryan Tipping (D - Orono),Ryan,Tipping,D,Orono
House,125, Rep. Victoria P. Kornfield (D - Bangor ),Victoria P.,Kornfield,D,Bangor 
House,126, Rep. John C. Schneck (D - Bangor),John C.,Schneck,D,Bangor
House,127, Rep. Barbara A. Cardone (D - Bangor),Barbara A.,Cardone,D,Bangor
House,128, Rep. Arthur C. Verow (D - Brewer),Arthur C.,Verow,D,Brewer
House,129, Rep. Peter A. Lyford (R - Eddington),Peter A.,Lyford,R,Eddington
House,130, Rep. Richard H. Campbell (R - Orrington),Richard H.,Campbell,R,Orrington
House,131, Rep. Sherman H. Hutchins (R - Penobscot),Sherman H.,Hutchins,R,Penobscot
House,132, Rep. Nicole Grohoski (D - Ellsworth ),Nicole,Grohoski,D,Ellsworth 
House,133, Rep. Sarah Pebworth (D - Blue Hill),Sarah,Pebworth,D,Blue Hill
House,134, Rep. Genevieve McDonald (D - Stonington),Genevieve,McDonald,D,Stonington
House,135, Rep. Brian L. Hubbell (D - Bar Harbor ),Brian L.,Hubbell,D,Bar Harbor 
House,136, Rep. Billy Bob Faulkingham (R - Winter Harbor),Billy Bob,Faulkingham,R,Winter Harbor
House,137, Rep. Lawrence E. Lockman (R - Amherst),Lawrence E.,Lockman,R,Amherst
House,138, Rep. Robert W. Alley (D - Beals),Robert W.,Alley,D,Beals
House,139, Rep. William R. Tuell (R - East Machias),William R.,Tuell,R,East Machias
House,140, Rep. Anne C. Perry (D - Calais),Anne C.,Perry,D,Calais
House,141, Rep. Kathy Irene Javner (R - Chester),Kathy Irene,Javner,R,Chester
House,142, Rep. Sheldon Mark Hanington (R - Lincoln ),Sheldon Mark,Hanington,R,Lincoln 
